headword_iast	headword_slp1	entry_id	page	body
akṣavatī	akzavatI	41	002-b	{#akzavatI#}¦ {%f.%} (ab {#akza#} {%m.%} talus, s. {#vat#} in {%fem.%}) talarius lusus. N. 26.10.
akṣānti	akzAnti	42	002-b	{#akzAnti#}¦ {%f.%} ({%KARM.%} ex {#a#} priv. et {#kzAnti#} patientia) invidia. AM.
akṣi	akzi	43	002-b	{#akzi#}¦ {%n.%} oculus (nom. irr. v. gr. 165. et {#akza#}; lith. {%aki-s%}).
akṣauhiṇī	akzOhiRI	44	002-b	{#akzOhiRI#}¦ {%f.%} exercitus completus, justum peditum, equitum, curruum et elephantorum numerum continens. Secundum Wils. ex {#akza#} currus et {#UhiRI#} collectio, {%vocalibus%} {#a#} {%et%} {#U#} {%irregulariter coalescentibus in%} {#O#} {%pro%} {#o#}).
akhaṇḍa	aKaRqa	45	002-b	{#aKaRqa#}¦ (non partem continens, {%BAH.%} ex {#a#} priv. et {#KaRqa#}) totus, plenus. SAK. 35.infr.
akhila	aKila	46	002-b	{#aKila#}¦ (non vacuum habens, {%BAH.%} ex {#a#} priv. et {#Kila#} {%n.%} inane, vacuum) omnis, universus, totus. {#aKilena#} {%adv.%} omnino. N. 6.8. SU. 3.8. A. 3.8.
ag	ag	47	002-b	{#ag#}¦ 1. {%P.%} ({#kuwilAyAN gatO#} {%K.%} {#vakragate#} {%V.%}) tortuose, flexuose ire; cf. {#ak#}.
aga	aga	48	002-b	{#aga#}¦ {%m.%} ({%KARM.%} ex {#a#} priv. et {#ga#} iens, a r. {#gA#} s. {#a#}) 1) arbor. 2) mons.
agada	agada	49	002-b	{#agada#}¦ {%m.%} ({%BAH.%} ex {#a#} priv. et {#gada#} morbus) medicamentum. AM.
agama	agama	50	002-b	{#agama#}¦ {%m.%} ({%KARM.%} ex {#a#} priv. et {#gama#} iens, a r. {#gam#} s. {#a#}) arbor. N. 12.103.
agādha	agADa	51	002-b	"{#agADa#}¦ (secundum Wils. {%BAH.%} ex {#a#} priv. et {#gADa#} locus, situs cf. nostrum {%Boden-los%}. Derivari etiam potest a rad. {#gAh#} submergi, quae primitive {#gAD#} sonuisse videtur, v. gr. comp. 23.) valde profundus. N. 6.13. — (Huc fortasse pertinent gr. <lang n=""greek"">ἀγαϑός</lang> et goth. {%gôths%} (Th. {%gôda%}, abjecto {%a%} initiali) sicut scr. {#varIyas#} melior, {#varizWa#} optimus cum {#uru#} magnus, latus cohaerent; v. gr. comp. 298.)."
agni	agni	52	002-b	"{#agni#}¦ {%m.%} 1) ignis. 2) Agnis, deus ignis (lat. {%igni-s%}, lith. {%ugni-s%}, slav. {%ognj%}, goth. {%auhn̕-s%} hypocaustum, fornax [Page003-a+ 37] v. Graff I. p. 176.; huc etiam pertinere videntur gr. <lang n=""greek"">αἴγλη, ἀγλαός</lang>)."
agnicit	agnicit	53	003-a	{#agnicit#}¦ {%m.%} (ex {#agni#} et {#cit#} colligens a r. {#ci#} adjecto {#t#}, v. gr. 643.) ignis cultor, qui ignem sacrum sustinet. AM.
agnimat	agnimat	54	003-a	{#agnimat#}¦ (igne praeditus ab {#agni#} suff. {#mat#}) igni deditus, ignem colens. N. 12.50.
agnipurogama	agnipurogama	55	003-a	{#agnipurogama#}¦ ({%BAH.%} ex {#agni#}, et {#purogama#} antecedens, e {#puras#} in fronte et {#gama#} iens) cui Agnis antecedit, Agnem tanquam antecedentem habens. N. 5.34.
agniśikha	agniSiKa	56	003-a	{#agniSiKa#}¦ {%m. n.%} ({%BAH.%} ex {#agni#} et {#SiKA#} flamma) crocus. AM.
agnihotra	agnihotra	57	003-a	{#agnihotra#}¦ {%n.%} ({%TATP.%} ex {#agni#} et {#hotra#} {%n.%} q. v.) ignis sacer, qui perpetuo alitur. SU. 2.14. SA. 1.8. N. 12.96.
agra	agra	58	003-a	"{#agra#}¦ {%n.%} 1) cuspis, cacumen, vertex. N. 8.9. {%Loc.%} {#agre#} ante, coram, c. {%gen.%} N. 23.21. (cf. gr. <lang n=""greek"">ἄϰϱον</lang>). 2) {%Adj.%} insignis, eximius. A. 1.8."
agraja	agraja	59	003-a	{#agraja#}¦ {%m.%} (e praec. et {#ja#} natus) primogenitus, frater natu maximus.
agratas	agratas	60	003-a	{#agratas#}¦ (ab {#agra#} s. {#tas#}) in fronte, ante, coram, {%cum gen.%} SU. 3.27. H. 4.24. N. 24.11.
agh	aG	61	003-a	{#aG#}¦ 10. {%P.%} ({#pApakaraRe#} {%K.%} {#tatkftO#} {%V.%}) peccare. (non vera radix, sed verbum denominativum a sq. {#aGa#}).
agha	aGa	62	003-a	{#aGa#}¦ {%n.%} (r. {#aNG#} ire s. {#a#}) peccatum. V. {#anaGa#} et cf. {#aMhas#}.
aṅk	aNk	63	003-a	{#aNk#}¦ 1. {%A.%} 10. {%P.%} signare, notare. UR. 60.infr.; 83.10. {#aNkita#} signatus, quod etiam ab {#aNka#} signum suff. {#ita#} derivari potest.
aṅka	aNka	64	003-a	"{#aNka#}¦ {%m.%} (r. {#aNk#} s. {#a#}) 1) nota, signum. 2) gremium, secundum Wils. «{%the flank or part above the hip%}» (fortasse huc pertinet gr. <lang n=""greek"">ὄγϰος</lang>): IN. 1.27. 2.21. N. 23.25. SA. 5.65. 3) actus scenicus."
aṅkura	aNkura	65	003-a	{#aNkura#}¦ {%m.%} (r. {#aNk#} s. {#ura#}) 1) cuspis, spiculum. SAK. 36.infr. 2) surculus.
aṅkuśa	aNkuSa	66	003-a	{#aNkuSa#}¦ {%m. n.%} stimulus quo elephanti impelluntur. DEV. 7.9.
aṅg	aNg	67	003-a	"1. {#aNg#}¦ 1. {%P.%} (Grammatici scribunt {#ag#} v. gr. 110^{%a%}).) ire (gr. <lang n=""greek"">ἐγγύς, ἐγγίζω</lang> ?)."
aṅg	aNg	68	003-b	2. {#aNg#}¦ 10. {%P.%} ({#lakzaRe#} {%K.%} {#pade lakzmaRi#} {%V.%}) notare.
aṅga	aNga	69	003-b	{#aNga#}¦ {%n.%} (r. {#aNg#} ire s. {#a#}) 1) membrum. 2) corpus. 3) nomen sex librorum, quorum tres priores grammaticas tractant res, quartus sacros ritus, quintus explicationem obscurarum Vêdorum vocum, sextus mathematicam (v. Jones, {%On the literature of the Hindus. Asiat. Res. t.%} 1.). 4) subsidium, auxilium. HIT. 72.3. v. {#anaNga#}.
aṅgaṇa	aNgaRa	70	003-b	{#aNgaRa#}¦ {%n.%} v. {#aNgana#}.
aṅgada	aNgada	71	003-b	{#aNgada#}¦ {%m.%} (ex {#aNga#} et {#da#} dans) armilla quâ brachia superiora ornantur. UR. 9.18.
aṅgana	aNgana	72	003-b	{#aNgana#}¦ {%n.%} (r. {#aNg#} ire s. {#ana#}) atrium. AM. Scribitur etiam {#aNgaRa#}. DEV. 5.50.
aṅganā	aNganA	73	003-b	{#aNganA#}¦ {%f.%} (r. {#aNg#} s. {#ana#} in {%fem.%}) femina. N. 318.12. 61.
aṅgarāga	aNgarAga	74	003-b	{#aNgarAga#}¦ {%m.%} (ex {#aNga#} {%n.%} et {#rAga#} {%m.%} color) odoratum unguentum, {%nisi potius, quod vocis origini magis conveniret%}, fucus, pigmentum. (Wils. explicat: {%Perfuming the body after cleansing; smearing it with unguents of sandal etc.%} HEM. 3.299.) IN. 5.8.
aṅgāra	aNgAra	75	003-b	{#aNgAra#}¦ {%m. n.%} carbo (lith. {%anglì-s%}, russ. {%ûgolj%}, v. gr. comp. 255. g.; nostrum {%Kohle%}, germ. vet. {%col%} et {%colo%}, angl. {%coal%}, abjectâ syllabâ {%an%}).
aṅgāraka	aNgAraka	76	003-b	{#aNgAraka#}¦ {%n.%} nom. pr. DR. 2.11.
aṅgīkṛ	aNgIkf	77	003-b	{#aNgIkf#}¦ (ex {#aNga#} et {#kf#} facere, gr. 653.) consentire, promittere. UP. 49.73. 77.
aṅguri	aNguri	78	003-b	{#aNguri#}¦ {%f.%} (hoc et cognata vocabula {#aNgurI, aNgula, aNguli, aNgulI, aNguzWa#} ab {#aNga#} corpus, membrum descendere videntur, attenuato {#a#} in {#u#}, ita ut {#aNguzWa#} proprie significet «in corpore stans»; formae {#aNguli#} etc. et {#aNguri#} nituntur eo, quod {#r#} et {#l#} facile inter se permutantur) digitus.
aṅgurī	aNgurI	79	003-b	{#aNgurI#}¦ {%f.%} id.
aṅgurīya	aNgurIya	80	003-b	{#aNgurIya#}¦ {%m. n.%} (ab {#aNguri#} vel {#aNgurI#} s. {#Iya#}) annulus.
aṅgurīyaka	aNgurIyaka	81	003-b	{#aNgurIyaka#}¦ (a praec. suff. {#ka#}) annulus. SAK. 23.3. (v. {#aNgulIyaka#})
aṅgula	aNgula	82	003-b	{#aNgula#}¦ {%m.%} pollex, digitus.
aṅguli	aNguli	83	003-b	{#aNguli#}¦ {%f.%} (v. {#aNguri#}) digitus.
aṅgulī	aNgulI	84	003-b	{#aNgulI#}¦ {%f.%} id.
