headword_iast	headword_slp1	entry_id	page	body
akṣa	akza	60	1-282-b	<hom>3.</hom> {#akza#}¦ 1〉 <lex>n.</lex> auch {%sinnliche Wahrnehmung%} <ls>NYĀYAM. 1,1,17</ls>.
akṣatāmaya	akzatAmaya	61	1-282-b	{#akzatAmaya/#}¦ <lex>m.</lex> {%eine Krankheit ohne Verletzung%} <ls>ŚAT. BR. 13,3,8,3</ls>.
akṣatriya	akzatriya	62	1-282-b	{#a/kzatriya#}¦ <lex>m.</lex> {%kein%} <is>Kṣatriya</is> <ls>ŚAT. BR. 6,6,3,12</ls>.
akṣadāya	akzadAya	63	1-282-b	{#akzadAya#}¦ <lex>m.</lex> {%Zug mit einer Spielfigur%} <ls>NAIṢ. 6,71</ls>.
akṣadvāra	akzadvAra	64	1-282-b	{#akzadvAra#}¦ <lex>n.</lex> {%Achsenloch%} <ls>SĀY.</ls> zu <ls>ṚV. 5,30,1</ls>.
akṣabhāra	akzaBAra	65	1-282-c	{#*akzaBAra#}¦ <lex>m.</lex> <is>gaṇa</is> {#vaMSAdi#}.
akṣamālāmaya	akzamAlAmaya	66	1-282-c	{#akzamAlAmaya#}¦ <lex>Adj.</lex> {%aus Rosenkränzen gebildet%} <ls>HEMĀDRI 2,a,104,14</ls>.
akṣaya	akzaya	67	1-282-c	{#akzaya#}¦ 2〉 <lex>f.</lex> b〉 <ab>N. pr.</ab> einer <is>Yoginī</is> <ls>HEMĀDRI 2,a,93,18</ls>.
akṣayavaṭa	akzayavawa	68	1-282-c	{#akzayavawa#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines <is>Tīrtha</is> <ls><ab>Comm.</ab> zu VIṢṆUS. 85,5</ls>.
akṣayya	akzayya	69	1-282-c	"{#akzayya#}¦, {#akzayyodaka#} <lex>n.</lex> {%Wasser, begleitet von dem Wunsche, dass es nie mangeln möge,%} <ls>YĀJÑ. 1,242</ls>. <ls>VIṢṆUS. 21,4</ls>. <ls n=""VIṢṆUS."">73,27</ls>. {#akzayyasTAne#} <ls>ŚĀṄKH. GṚHY. 4,2</ls>. <ls>YĀJÑ. 1,251</ls>."
akṣara	akzara	70	1-282-c	{#akzara#}¦ 2〉m〉 Name eines <is>Sāman</is> <ls>ĀRṢ. BR.</ls>
akṣaraśas	akzaraSas	71	1-282-c	{#akzaraSa/s#}¦ <ls>MAITR. S. 3,1,1</ls>.
akṣaraśikṣā	akzaraSikzA	72	1-282-c	{#akzaraSikzA#}¦ <lex>f.</lex> {%das Abece%} <ls>DAŚAK. 15,12</ls>.
akṣaresthā	akzaresTA	73	1-282-c	{#akzaresTA#}¦ <lex>Adj.</lex> {%in Silben bestehend%} <ls>TĀṆḌYA-BR. 16,8,4</ls>.
