headword_iast	headword_slp1	entry_id	page	body
saṃvat	saMvat	25514	460-2a	1. {#saMva/t#}¦ {%f.%} Seite, Strecke.
saṃvat	saMvat	25515	460-2a	2. {#saMvat#}¦ = {#saMvatsare#} im Jahre {%(der Ära des%} {%Vikrama).%}
saṃvatsam	saMvatsam	25516	460-2a	{#saMva/tsam#}¦ {%Adv.%} ein Jahr lang.
saṃvatsara	saMvatsara	25517	460-2a	{#saMvatsara/#}¦ {%m.%} Jahr.
saṃvatsaratama	saMvatsaratama	25518	460-2a	"{#saMvatsaratama/#},¦ {%f.%} {#I#} (heute) über's Jahr kommend. <lbinfo n=""5""/>"
saṃvatsarabhṛta	saMvatsaraBfta	25519	460-2a	"{#saMvatsaraBfta/#}¦ ein Jahr lang getragen {%o.%} gepflegt <lbinfo n=""6""/> {%(r.).%}"
saṃvatsarasahasra	saMvatsarasahasra	25520	460-2a	{#saMvatsarasahasra/#}¦ {%n.%} Jahrtausend.
saṃvatsarīṇa	saMvatsarIRa	25521	460-2a	{#saMvatsarI/Ra#}¦ {%o.%} {#˚rI/ya#} jährig, jährlich.
saṃvanana	saMvanana	25522	460-2a	"{#saMva/nana#},¦ {%f.%} {#I#} gewinnend, versöhnend; {%n.%} Gewinn, <lbinfo n=""5""/> Vereinigungsmittel."
saṃvara	saMvara	25523	460-2a	{#saMvara#}¦ abwehrend; {%m.%} Wehr, Damm.
saṃvaraṇa	saMvaraRa	25524	460-2a	"1. {#saMva/raRa#},¦ {%f.%} {#I#} verschließend, entfaltend. {%n.%} das Verschließen, Verbergen, Umhegung, <lbinfo n=""7""/> Hülle."
saṃvaraṇa	saMvaraRa	25525	460-2a	2. {#saMvaraRa#}¦ {%n.%} das Wählen {%(zum Gatten).%}
saṃvarga	saMvarga	25526	460-2a	"{#saMvarga#}¦ zusammenraffend; {%m.%} das Zusammenraffen. <lbinfo n=""7""/>"
saṃvarṇana	saMvarRana	25527	460-2a	{#saMvarRana#}¦ {%n.%} Schilderung, Erzählung.
saṃvarta	saMvarta	25528	460-2a	"{#saMvarta/#}¦ {%m. (eig.%} Zusammenrollung), Ballen, Haufe, Masse, schwere Wolke. {%bes.%} [Page461-1] Weltuntergangswolke, Weltend; {%Mannsname.%} <lbinfo n=""7""/>"
saṃvartaka	saMvartaka	25529	461-1	{#saMvartaka#}¦ aufrollend {%d. i.%} vernichtend {%(Feuer)%}; {%m.%} Weltuntergang.
saṃvardhana	saMvarDana	25530	461-1	{#saMvarDana#}¦ mehrend, födernd. {%n.%} das Gedeihen, Erfolg; das Heranwachsen, Großziehen, Fördern.
saṃvala	saMvala	25531	461-1	{#saMvala#}¦ Wegekost {%(vgl.%} {#Sambala)#}.
saṃvalana	saMvalana	25532	461-1	{#saMvalana#}¦ {%n.%}, {#˚nA#} {%f.%} Zusammentreffen {%(freundl.%} {%u. feindl.)%}, Vereinigung.
saṃvasana	saMvasana	25533	461-1	{#saMva/sana#}¦ {%n.%} Versammlungs- {%o.%} Wohnort.
saṃvasu	saMvasu	25534	461-1	{#sa/Mvasu#}¦ zusammenwohnend mit {%(Loc.).%}
saṃvāc	saMvAc	25535	461-1	{#saMvA/c#}¦ {%f.%} gemeinsame Rede.
saṃvāda	saMvAda	25536	461-1	{#saMvAda/#}¦ {%m.%} Unterredung, Verabredung, Übereinkunft, Übereinstimmung.
saṃvādana	saMvAdana	25537	461-1	{#saMvAdana#}¦ {%n. dass.%}
saṃvādin	saMvAdin	25538	461-1	"{#saMvAdin#}¦ sich unterhaltend; übereinstimmend <lbinfo n=""4""/> mit {%(Gen. o.%} —˚)."
saṃvāsa	saMvAsa	25539	461-1	{#saMvAsa#}¦ {%m.%} das Zusammenwohnen {%o.%} -leben, (gemeinsamer) Wohnplatz.
saṃvāsin	saMvAsin	25540	461-1	{#saMvAsin#}¦ zusammenwohnend, wohnend in (—˚); {%m.%} Wohnungsgenosse.
saṃvāha	saMvAha	25541	461-1	{#saMvAha#}¦ {%m.%} Fahrpark; das Herüberfahren {%(mit der Hand)%}, Streichen.
saṃvāhaka	saMvAhaka	25542	461-1	{#saMvAhaka#},¦ {%f.%} {#˚hikA#} streichend, massierend; {%m.%} Gliederstreicher.
saṃvāhana	saMvAhana	25543	461-1	{#saMvAhana#}¦ {%n.%} das Fahren; Streichen, Massieren.
saṃvijñāna	saMvijYAna	25544	461-1	{#saMvijYAna#}¦ {%n.%} das Mitverstehen, Begreifen; Erkenntnis, Wahrnehmung.
saṃvitti	saMvitti	25545	461-1	{#saMvitti#}¦ {%f.%} Erkenntnis, Empfindung.
saṃvid	saMvid	25546	461-1	"1. {#saMvi/d#}¦ {%f.dass.%}, Einverständnis, Verabredung, <lbinfo n=""7""/> Vertrag {%(j.)%}, Stelldichein, Plan, Anschlag."
saṃvid	saMvid	25547	461-1	2. {#saMvi/d#}¦ {%f.%} Besitz.
saṃvidya	saMvidya	25548	461-1	{#sa/Mvidya#}¦ {%n. dass.%}
saṃvidh	saMviD	25549	461-1	{#saMviD#}¦ {%u.%} {#˚DA#} {%f.%} Anordnung, Einrichtung.
saṃvidhāna	saMviDAna	25550	461-1	{#saMviDAna#}¦ {%n.%}, {#saMviDi#} {%m.dass.%}
saṃvibhāga	saMviBAga	25551	461-1	{#saMviBAga#}¦ {%m.%} das Teilnehmenlassen an, Beschenken mit {#(—˚)#}.
saṃvīta	saMvIta	25552	461-1	{#saMvIta#}¦ {%(s.%} {#vyA)#} {%n.%} Kleidung.
saṃvṛj	saMvfj	25553	461-1	{#saMvf/j#}¦ an sich reißend, Beute machend.
saṃvṛt	saMvft	25554	461-1	1. {#saMvf/t#}¦ bedeckend.
saṃvṛt	saMvft	25555	461-1	2. {#saMvf/t#}¦ {%f.%} das Herankommen.
saṃvṛti	saMvfti	25556	461-1	{#saMvfti#}¦ {%f.%} Verhüllung, Hemmung.
saṃvṛddhi	saMvfdDi	25557	461-1	{#saMvfdDi#}¦ {%f.%} Wachstum, Gedeihen, Macht.
saṃvega	saMvega	25558	461-1	{#saMvega#}¦ {%m.%} Aufregung, Heftigkeit, Gewalt.
saṃveda	saMveda	25559	461-2	{#saMveda#}¦ {%m.%} Erkenntnis, Empfindung.
saṃvedana	saMvedana	25560	461-2	{#saMvedana#}¦ {%n. dass.%}, Meldung, Verküdigung.
saṃveśa	saMveSa	25561	461-2	{#saMveSa/#}¦ {%m.%} Eintritt; das Niederliegen, Schlafen.
saṃveśana	saMveSana	25562	461-2	{#saMve/Sana#},¦ {%f.%} {#I#} zum Liegen bringend; {%n. = vor.%}
saṃvyavahāra	saMvyavahAra	25563	461-2	{#saMvyavahAra#}¦ {%m.%} Verkehr, Beschäftigung mit {%(Instr. o.%} —˚).
saṃvyādha	saMvyADa	25564	461-2	{#saMvyADa/#}¦ {%m.%} Kampf.
saṃvyāna	saMvyAna	25565	461-2	{#saMvyAna#}¦ {%n.%} Umhüllung, Mantel.
saṃvraścam	saMvraScam	25566	461-2	{#saMvra/Scam#}¦ {%(Ger.)%} zerstückelnd, stückweise.
saṃśaptaka	saMSaptaka	25567	461-2	{#saMSaptaka#}¦ {%m. Pl.%} Verschworene, Eidgenossen.
saṃśabdana	saMSabdana	25568	461-2	{#saMSabdana#}¦ {%n.%} Erwähnung.
saṃśama	saMSama	25569	461-2	{#saMSama/#}¦ {%m.%} Beruhigung.
saṃśamana	saMSamana	25570	461-2	{#saMSamana#},¦ {%f.%} {#I#} beruhigend; {%n.%} Beruhigung- {%o.%} Beruhingungsmittel.
saṃśaya	saMSaya	25571	461-2	{#saMSaya#}¦ {%m.%} Zweifel, Ungewissheit über {%(Loc.%} {%o.%} —˚), Gefahr.
saṃśayakara	saMSayakara	25572	461-2	{#saMSayakara#},¦ {%f.%} {#I#} gefährdend {#(—˚)#}.
saṃśayita	saMSayita	25573	461-2	{#saMSayita#}¦ {%(s.%} 2. {#SI)#} {%n.%} Zweifel, Ungewissheit.
saṃśayopamā	saMSayopamA	25574	461-2	{#saMSayopamA#}¦ {%f.%} Art Gleichnis {%(rh.).%}
saṃśita	saMSita	25575	461-2	{#saMSita#}¦ {%s.%} {#SA#}; {#˚vAc#} schare Reden führend.
saṃśitavrata	saMSitavrata	25576	461-2	{#saMSitavrata#}¦ von stranger Frömmigkeit.
saṃśiti	saMSiti	25577	461-2	{#saMSiti#}¦ {%f.%} Schärfung.
saṃśis	saMSis	25578	461-2	{#saMSi/s#}¦ {%f.%} Aufforderung.
saṃśīlana	saMSIlana	25579	461-2	{#saMSIlana#}¦ {%n.%} Übung, Verkehr mit {%(Instr.).%}
saṃśuddhi	saMSudDi	25580	461-2	{#saMSudDi#}¦ {%f.%} Reinheit.
saṃśuṣka	saMSuzka	25581	461-2	{#saMSuzka#}¦ trocken dürr.
saṃśodhana	saMSoDana	25582	461-2	{#saMSoDana#},¦ {%f.%} {#I#} reinigend; {%n.%} Reinigung.
saṃśoṣa	saMSoza	25583	461-2	{#saMSoza#}¦ {%m.%} das Trocken {%(intrans.).%}
saṃśoṣaṇa	saMSozaRa	25584	461-2	{#saMSozaRa#}¦ trockend {%(trans.); n. = vor.%}
